code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ew,,,2.4269662921348316,3.4085603112840466,3.097560975609756,2.6601941747572817,2.717391304347826,2.7,3.239130434782609,5.539823008849558,3.1682242990654204
globecom,13.51433389544688,12.744444444444444,8.200696055684455,5.72680412371134,3.962814070351759,4.004032258064516,3.529828109201213,1.8783919597989949,0.7122736418511066,0.28362877997914493,2.4112050739957716
icc,18.1618320610687,17.954220314735338,,8.639416058394161,8.932508436445444,5.611670020120724,4.8121212121212125,3.0111675126903554,1.1666666666666667,0.3872598584428716,2.977659574468085
iswcs,,,,,2.201183431952663,2.7176470588235295,2.6241610738255035,2.167832167832168,2.4537037037037037,3.125714285714286,2.536363636363636
jsac,77.70700636942675,63.81333333333333,44.49122807017544,43.2952380952381,44.820408163265306,30.532967032967033,21.304597701149426,9.708609271523178,5.55,14.86111111111111,17.14622641509434
letters,31.480662983425415,28.74871794871795,15.73076923076923,18.573816155988858,12.628865979381443,9.211309523809524,6.542207792207792,3.0306748466257667,1.4010416666666667,0.33995584988962474,2.7917261055634808
pimrc,,3.9951298701298703,3.585,4.749539594843462,,3.140765765765766,2.2533783783783785,,0.5752961082910322,0.05473684210526316,2.7369614512471654
tvt,15.708333333333334,13.61111111111111,20.055248618784532,18.90954773869347,14.0,11.744623655913978,11.847368421052632,7.4609375,6.685840707964601,13.681715575620768,10.285714285714286
twc,66.85365853658537,39.58914728682171,30.64864864864865,27.544891640866872,17.85614849187935,14.820610687022901,11.686708860759493,7.473389355742297,6.614457831325301,12.295258620689655,11.342222222222222
vtc_fall,11.54368932038835,10.301255230125523,,4.181818181818182,2.9594155844155843,4.214285714285714,3.0753880266075386,2.360655737704918,2.6641651031894935,3.3724696356275303,2.232283464566929
vtc_spring,8.290322580645162,7.451612903225806,6.032258064516129,8.042424242424243,6.011437908496732,,4.497576736672052,2.8445839874411303,2.596885813148789,4.247407407407407,2.8370672097759675
wcnc,,27.293010752688172,11.21951219512195,,7.365239294710327,6.541614906832298,3.81151832460733,2.7884972170686457,3.4878048780487805,4.4,3.543657331136738
wowmom,,,,19.677419354838708,,6.114754098360656,,2.8,2.672727272727273,5.102189781021898,4.008333333333334
